390	3.384
3919	0.28
3803	12.296
3689	0.592
3569	16.256
248	6.552
255	2516.468
3476	0.328
5123	2626.78
5115	1879.5
225	0.216
175	0.3
3072	220.464
56	69.548
53	102.804
41	100.444
5086	66.38
12	96.108
3	3.276
5078	6.928
1	86.728
6776	10.032
6786	76.804
6772	1.824
6770	83.268
5074	119.076
5066	102.564
6741	36.004
6730	93.436
6691	1.424
2747	0.748
5048	264.856
6653	18.312
6646	12.436
2615	7.784
5022	52.676
5019	26.784
6577	7.516
6578	11.72
2433	12.98
5016	34.044
